trait,attribute,family
occipitals,tiny,amphisbaenidae
temporal,very large,amphisbaenidae
head,bulbous,amphisbaenidae
supralabials and infralabials,2,amphisbaenidae
mental,wider than first infralabials,amphisbaenidae
malars,slightly enlarged,amphisbaenidae
postgenials,"two rows of postgenials, 4 segments in the first row, 4 in the second",amphisbaenidae
body annuli,240,amphisbaenidae
dorsal segments and ventral segments,8,amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,10 (poorly expressed),amphisbaenidae
autotomy site,at the 11th caudal annulus,amphisbaenidae
anterior head shields,major fusions,amphisbaenidae
rostral,relatively small,amphisbaenidae
full body color,uniform pale brown,amphisbaenidae
occipital,tiny,amphisbaenidae
precloacal pores,10 (poorly expressed),amphisbaenidae
blinded suture,extending anteriorly into the compound shield,amphisbaenidae
trunk shape,generally rounded,amphisbaenidae
tail,flattened,amphisbaenidae
caudal tip shape,distinct horizontal oval in cross section,amphisbaenidae
middorsal sulcus,alignment of intersegmental sutures,amphisbaenidae
snout,prognathous,amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
nasal,"fused with first and second labials, preocular and prefrontal",amphisbaenidae
frontal,small,amphisbaenidae
postfrontals,a pair,amphisbaenidae
parietals,a pair,amphisbaenidae
ocular,"large, eye distinct",amphisbaenidae
upper labial,1 (third),amphisbaenidae
temporals,2,amphisbaenidae
mental,elongate,amphisbaenidae
lower labials,"2, first very large, second small",amphisbaenidae
chin shields,"4, all of which are in contact with a first lower labial",amphisbaenidae
body annuli,243,amphisbaenidae
tail,26 annuli,amphisbaenidae
median ventral segment,six times as broad as long,amphisbaenidae
anals,6,amphisbaenidae
above color,pale brown,amphisbaenidae
below color,white,amphisbaenidae
total length,120 (107 + 13) mm,amphisbaenidae
midbody segments,"10 dorsal, 7 ventral",amphisbaenidae
snout-vent plus tail length,107 + 13 mm,amphisbaenidae
temporals,"2, upper very large",amphisbaenidae
mental,elongate,amphisbaenidae
4 postgenials,no adjective,amphisbaenidae
body annuli,243,amphisbaenidae
caudal annuli,26,amphisbaenidae
6 precloacal segments,no adjective,amphisbaenidae
small median azygous shield,no adjective,amphisbaenidae
2 supralabials,no adjective,amphisbaenidae
2 infralabials,no adjective,amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
nasal,"fused with first and second labials, preocular, ocular, prefrontal and frontal",amphisbaenidae
postfrontals,a pair of elongate,amphisbaenidae
eye,hidden,amphisbaenidae
upper labial,1 (third),amphisbaenidae
temporals,"2, upper very large",amphisbaenidae
mental,elongate,amphisbaenidae
lower labials,"2, first very large, second small",amphisbaenidae
annuli on body,252 - 258,amphisbaenidae
annuli on tail,9-24,amphisbaenidae
segments in a midbody annulus,"19 (12 + 7), the median ventral segment six times as broad as long",amphisbaenidae
anals,4,amphisbaenidae
preanal pores,6,amphisbaenidae
coloration,"above, pale brown",amphisbaenidae
coloration,"below, white",amphisbaenidae
total length,175 (160 + 15) mm,amphisbaenidae
head,bulbous,amphisbaenidae
supralabials,2,amphisbaenidae
infralabials,2,amphisbaenidae
mental,wider than first infralabials in ventral view,amphisbaenidae
malars,enlarged,amphisbaenidae
body annuli,244-265,amphisbaenidae
caudal annuli,20-25,amphisbaenidae
midbody segments,"12-14 dorsal, 7-9 ventral",amphisbaenidae
precloacal pores,6,amphisbaenidae
autotomy site,at the 6th and 8th caudal annulus,amphisbaenidae
dorsal color,uniform pale brown,amphisbaenidae
ventral color,slightly lighter,amphisbaenidae
head shields and first five to seven dorsal half-annuli,lack pigmentation,amphisbaenidae
trunk,generally slightly wider than high,amphisbaenidae
caudal tip,distinct vertical oval in cross section,amphisbaenidae
lateral sulci,approximately as wide as half of one of the flanking segments,amphisbaenidae
middorsal sulcus,alignment of intersegmental sutures,amphisbaenidae
head shields,major fusions,amphisbaenidae
"1st and 2nd supralabials, nasal, prefrontal, frontal, preocular and ocular shields",fused,amphisbaenidae
postfrontals,"pair forming an irregular oval, more convex posteriorly than anteriorly",amphisbaenidae
parietals,large pair,amphisbaenidae
interparietals,small pair of regular shape and size,amphisbaenidae
1st and 2nd supralabials,fused,amphisbaenidae
3rd supralabial,large posterior,amphisbaenidae
1st and 2nd infralabials,fused,amphisbaenidae
3rd infralabial,small posterior,amphisbaenidae
mental,fused to the postmental,amphisbaenidae
postgenials,"in two rows, anterior containing 3 segments, posterior containing 4 segments",amphisbaenidae
body annuli,229-237,amphisbaenidae
lateral annuli,2-4,amphisbaenidae
caudal annuli,22-23,amphisbaenidae
constriction for autotomy,after the 7th or 8th caudal annulus,amphisbaenidae
precloacal pores,"10 in male, 0 in female",amphisbaenidae
pre-cloacal segments,6-8,amphisbaenidae
post-cloacal segments,8-11,amphisbaenidae
snout,"bulbous, pointed",amphisbaenidae
mental,"shorter than first infralabials, narrower in ventral view",amphisbaenidae
body annuli,228-235,amphisbaenidae
caudal annuli,21-22,amphisbaenidae
midbody segments,"12 dorsal, 10 ventral",amphisbaenidae
autotomy site,at the 7th to 8th caudal annulus,amphisbaenidae
precloacal pores,10 or 0,amphisbaenidae
dorsal color,uniform brown,amphisbaenidae
ventral color,slightly lighter,amphisbaenidae
snout,bulbously swollen,amphisbaenidae
rostral,small visible as a triangle in dorsal view,amphisbaenidae
frontal,small,amphisbaenidae
body proportions,"small, relatively slender",amphisbaenidae
pigment density,"increases posteriorly, greatest on the first half of the tail",amphisbaenidae
segments,"slightly reduced in size on gular region, midventral segments of the seventh annulus show first indication of fusion of the medial segments",amphisbaenidae
body annuli,228-235,amphisbaenidae
annulus at midbody,"contains 12-13 dorsal segments, 10 ventral ones",amphisbaenidae
caudal annuli,21-22,amphisbaenidae
autotomy site,at the 7th to 8th caudal annulus,amphisbaenidae
trunk,"slightly wider than high, becomes rounded and slightly higher than wide just posterior to the cloacal region",amphisbaenidae
tail,"smaller diameter than the trunk, distinct vertical oval in cross section, tip forms",amphisbaenidae
discrete ocular,absent,amphisbaenidae
caudal autotomy site,at the 7th caudal annulus,amphisbaenidae
body annuli,251,amphisbaenidae
"preocular supralabials, nasal, prefrontal, preocular, and ocular",fused,amphisbaenidae
frontal,large,amphisbaenidae
parietal,discrete,amphisbaenidae
occipital,"tiny, smaller than flanking segments of second body annulus",amphisbaenidae
first postocular supralabial,broadly contacts frontals,amphisbaenidae
temporal,"single, large",amphisbaenidae
second body annulus,forms complete ring of as many segments as third,amphisbaenidae
head,bulbous,amphisbaenidae
supralabials,2,amphisbaenidae
infralabials,2,amphisbaenidae
mental,"damaged, wider and shorter than first infralabials",amphisbaenidae
malars,"enlarged, enclosing two rows",amphisbaenidae
body annuli,251,amphisbaenidae
caudal annuli,27,amphisbaenidae
midbody segments,"8 dorsal, 8 ventral",amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,absence,amphisbaenidae
autotomy site,at the 7th caudal annulus,amphisbaenidae
species,"small, relatively slender",amphisbaenidae
type,uniform pale brown,amphisbaenidae
rostral,relatively small,amphisbaenidae
snout,bulbously swollen,amphisbaenidae
second supralabial,bisects the position of the eye,amphisbaenidae
parietal,"also squarish, slightly narrower than frontal",amphisbaenidae
occipitals,smaller than flanking segments,amphisbaenidae
snout,prognathous,amphisbaenidae
mental,narrower than the enormous infralabials,amphisbaenidae
cloacal region,corresponds to four lateral annuli,amphisbaenidae
tail,bears 27 caudal annuli,amphisbaenidae
autotomy site,faintly marked at the seventh postcloacal annulus,amphisbaenidae
lateral sulci,starts at the level of the tenth body annulus,amphisbaenidae
head shields,major fusion,amphisbaenidae
"1st and 2nd supralabials, nasal, prefrontal, frontal, preocular shields",fused,amphisbaenidae
ocular shields,"separate, in contact posteriorly with the upper half of the anterior margin of the posterior (3rd) supralabial and the outer half of the anterior margin of the postfrontal",amphisbaenidae
postfrontals,a pair,amphisbaenidae
parietals,"large, a pair",amphisbaenidae
interparietals,"small, irregular shape, unequal size",amphisbaenidae
"1st and 2nd supralabials, 1st and 2nd infralabials",fused,amphisbaenidae
"3rd supralabial, 3rd infralabial","large, small",amphisbaenidae
mental,fused to the postmental,amphisbaenidae
postgenials,"in two rows, each containing 4 segments",amphisbaenidae
malar shields,enlarged,amphisbaenidae
body annuli,258,amphisbaenidae
lateral annuli,4,amphisbaenidae
caudal annuli,20-21,amphisbaenidae
autotomy constriction,after the 7th,amphisbaenidae
precloacal pores in the male,8,amphisbaenidae
precloacal pores in the female,none,amphisbaenidae
"precloacal segments, postcloacal segements","6-8, 8",amphisbaenidae
segments in a midbody annulus,"26-28, 14 dorsal and 12-14 ventral",amphisbaenidae
snout,bulbous,amphisbaenidae
specimens,"pale brown dorsally, slightly lighter on the ventral surface",amphisbaenidae
tail,"first half is darkest, irregular checkerboard pattern",amphisbaenidae
cloacal region,unpigmented,amphisbaenidae
snout,lacks pigmentation,amphisbaenidae
"body proportions, head shields",major fusions,amphisbaenidae
rostral,much more obvious in ventral than in dorsal view,amphisbaenidae
lower jaw,not deeply inserted into the bulbous snout,amphisbaenidae
mental,narrower than the infralabials,amphisbaenidae
malars,enlarged,amphisbaenidae
postmalars,slightly enlarged,amphisbaenidae
gular region,slightly reduced in size,amphisbaenidae
seventh annulus,first indication of fusion of the medial segments,amphisbaenidae
body annuli,256-258,amphisbaenidae
caudal annuli,20,amphisbaenidae
midbody segments,"13-14 dorsal, 12-14 ventral",amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,8 or 0,amphisbaenidae
autotomy site,at the 7th to 8th caudal annulus,amphisbaenidae
colar region,corresponds to three to four lateral annuli,amphisbaenidae
tail,20 caudal annuli before an oval end,amphisbaenidae
trunk,generally slightly wider than high,amphisbaenidae
lateral sulci,start at the level of the 20th body annulus,amphisbaenidae
anterior head,the vertical posterior suture bisects the position of the eye,amphisbaenidae
"nasal, preocular, and prefrontal",discrete,amphisbaenidae
ocular,"discrete, pentagonal, diagonally placed",amphisbaenidae
median azygous shield,small,amphisbaenidae
preocular and one postocular supralabials,two,amphisbaenidae
frontals,"small, triangular",amphisbaenidae
occipital,relatively large,amphisbaenidae
midventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,"8, large, round",amphisbaenidae
autotomy site,at the 6th to 7th caudal annulus,amphisbaenidae
body annuli,208-226,amphisbaenidae
caudal annuli,16-19,amphisbaenidae
most specimens,"have a hump in the tail, leading to a spatulate depressed distal tip covered dorsally by a rosette of segments",amphisbaenidae
midbody segments,"14-20 dorsal, 12-16 ventral",amphisbaenidae
preserved specimens' color,light brown dorsally and lighter on the ventral surface,amphisbaenidae
both the dorsal and the ventral surfaces,pigmented,amphisbaenidae
darker specimens show an,"erratic, light checkerboard arrangement of pigmented segments on the ventral surface",amphisbaenidae
the dorsal pigmentation,mottled,amphisbaenidae
the dorsal surfaces of the top of the head(particularly the frontals) of the posterior quarter of the trunk and of the caudal,somewhat darker than those of the anterior trunk,amphisbaenidae
caudal rosette,colored a very dark leaden gray,amphisbaenidae
ventral portion of the tail,darkened,amphisbaenidae
autotomy annulus,pigmented,amphisbaenidae
the mental,"large, narrower posteriorly than anteriorly",amphisbaenidae
there are,8 large round precloacal pores,amphisbaenidae
the pore-bearing row corresponds to,the full width of the ventral region,amphisbaenidae
the snout,markedly pointed,amphisbaenidae
ventral segments of the first five body annuli,reduced in size,amphisbaenidae
body annuli,211 - 226,amphisbaenidae
snout,vertically swollen anterior to the level of the eyes,amphisbaenidae
the trunk,rounded anteriorly and variably compressed dorsoventrally thereafter onto the base of the tail,amphisbaenidae
"dorsal sulcus, see around the body",most marked from near the 70th annulus,amphisbaenidae
"preocular supralabials, nasal, preocular, and prefrontal",fused,amphisbaenidae
diagrammatically placed ocular,quadratic,amphisbaenidae
a small median azygous shield,no adjective,amphisbaenidae
frontal and parietal,"fused, relatively small",amphisbaenidae
first postocular supralabial,enormous,amphisbaenidae
large temporal,dorsal to first and second postsupralabials,amphisbaenidae
snout,generally pointed,amphisbaenidae
mental and first infralabials,enormous,amphisbaenidae
body annuli,233-243,amphisbaenidae
caudal annuli,18-19,amphisbaenidae
midbody segments,"14 dorsal, 10 ventral",amphisbaenidae
